model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
R15 門檻 ≤10 檔/篇,OK,abn_attention_weekday,6.219622643671928e-05,0.00019328635667458606,0.3217828071612519,0.7476181143244189,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,abn_attention_weekend,0.00031929676483651584,0.00024909236841190143,1.2818408162088843,0.19990235594054573,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,att_zero_base,0.00029530401002876713,0.00032968305366206784,0.8957209257454283,0.3704046340439975,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,ret_lag1,0.000185674983421387,0.0004262414053286368,0.43560991752603095,0.6631209961846629,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,ret_lag4,-0.0002441843458508847,0.0004597832320728882,-0.5310858004760269,0.5953608568065096,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,ret_lag25,0.00035705221027998533,0.0004091195930305202,0.8727330989825005,0.3828112962080772,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,log_market_cap,-0.0035586331137057573,0.0008096665371579455,-4.395183634730797,1.108270894834007e-05,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,turnover,-0.000981804660190153,0.0003992865254636796,-2.458897552453122,0.013938623729037092,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,amihud,-0.00011055236984548161,0.00024031171733106342,-0.4600373676044272,0.6454906991540024,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤10 檔/篇,OK,foreign_holding_pct,0.0013776948389743102,0.0007269212561675272,1.8952463245301012,0.05806352073491938,77670,254,478,0.0017368187559319015,True,,dense=6036;sparse=71634
R15 門檻 ≤15 檔/篇,OK,abn_attention_weekday,0.00010581975488794218,0.000191553722081117,0.552428601951837,0.5806562569884339,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,abn_attention_weekend,0.00040863813383877276,0.0002536398953530472,1.6110956569745465,0.10716275507210993,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,att_zero_base,0.000309997029849857,0.00033793898198102506,0.9173165760062065,0.358979493697698,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,ret_lag1,0.00021187934216321865,0.00041047549102977255,0.5161802514241969,0.6057299251707686,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,ret_lag4,-0.0003226148497911547,0.000445463477059467,-0.7242228968371459,0.46893098680355205,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,ret_lag25,0.00041192229733240377,0.0003991375805344472,1.0320308520707013,0.30206073339664896,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,log_market_cap,-0.003617977549102159,0.0007585782613955313,-4.769418968645747,1.8507752546081946e-06,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,turnover,-0.0009821668913773606,0.00039001913246059113,-2.518253105125816,0.011795756618312003,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,amihud,0.00011407258598140679,8.007557229652294e-05,1.4245616073649976,0.1542878013322042,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤15 檔/篇,OK,foreign_holding_pct,0.001360169937074785,0.0006973884952973392,1.9503762196347412,0.0511347241113822,82079,256,478,0.0018737095197651765,True,,dense=6623;sparse=75456
R15 門檻 ≤20 檔/篇,OK,abn_attention_weekday,8.286864566577549e-05,0.0001800431111619402,0.46027112690381744,0.6453227613625567,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,abn_attention_weekend,0.0003003132756557928,0.0002350787693438215,1.2775006288065114,0.20142893204699663,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,att_zero_base,0.00022212455776119428,0.0003415024370173967,0.6504333020319819,0.515414071587498,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,ret_lag1,0.00034705012566010597,0.0004092555747285685,0.8480034166676429,0.39643837662680603,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,ret_lag4,-0.000325527311417545,0.0004378139606397332,-0.7435288517110896,0.45716354747575205,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,ret_lag25,0.0003364450689144572,0.0003709126576244415,0.9070735710915436,0.364370379156997,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,log_market_cap,-0.003463155260065108,0.0007367772784319308,-4.700409963015793,2.600324384482988e-06,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,turnover,-0.0008682103804711282,0.00038128877845311585,-2.2770415221592613,0.022786137522949446,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,amihud,-0.00018936419067796037,0.00015000522783550696,-1.2623839409491364,0.20681401356429197,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤20 檔/篇,OK,foreign_holding_pct,0.0014085893330678246,0.0006426627164243954,2.191801853552111,0.0283964304497466,88660,258,478,0.001663674898873202,True,,dense=8044;sparse=80616
R15 門檻 ≤30 檔/篇,OK,abn_attention_weekday,0.00030568613530159767,0.00016319430212915698,1.8731422072546888,0.061051814405066684,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤30 檔/篇,OK,abn_attention_weekend,0.00022278938008045405,0.00023103728043419073,0.9643005650939264,0.33489770896829674,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
