model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T6-tercile-log_att_mean_level_52:high,OK,foreign_holding_pct,0.0013150446260612432,0.0010916233629252687,1.204668817766288,0.22834342118886486,23920,147,478,0.0019099242496640745,True,,dense=5614;sparse=18306
T6R-dense-h1,OK,abn_attention_weekend,-0.00048410310853131485,0.0005349648116496588,-0.9049251427182605,0.36554761614254483,5614,36,450,0.007227546449287359,True,,dense=5614
T6R-dense-h1,OK,ret_lag1,0.0004301204258644063,0.001294972898150315,0.33214627617208997,0.7397924020008879,5614,36,450,0.007227546449287359,True,,dense=5614
T6R-dense-h1,OK,ret_lag4,-0.00021379533822858172,0.0010491651284878745,-0.20377663384287042,0.8385361501485149,5614,36,450,0.007227546449287359,True,,dense=5614
T6R-dense-h1,OK,ret_lag25,-8.091499651550498e-05,0.0011051550045514916,-0.07321597077537821,0.941637117078099,5614,36,450,0.007227546449287359,True,,dense=5614
T6R-dense-h1,OK,log_market_cap,-0.012814239288401448,0.005062026063836688,-2.531444746985179,0.011389040360047842,5614,36,450,0.007227546449287359,True,,dense=5614
T6R-dense-h1,OK,turnover,-0.003343509919538645,0.0019018356897215296,-1.7580435247948303,0.07879983714384897,5614,36,450,0.007227546449287359,True,,dense=5614
T6R-dense-h1,OK,amihud,-0.0014759715817659435,0.0008842106088161111,-1.669253418868333,0.09512829100684117,5614,36,450,0.007227546449287359,True,,dense=5614
T6R-dense-h1,OK,foreign_holding_pct,-0.0010034260712564404,0.003278848187639488,-0.30603004891752184,0.7595942069579928,5614,36,450,0.007227546449287359,True,,dense=5614
T6R-dense-h2,OK,abn_attention_weekend,0.001009811913003263,0.0006734829239141749,1.4993875525965796,0.13383490777210905,5602,36,450,0.0065689553774790355,True,,dense=5602
T6R-dense-h2,OK,ret_lag1,0.00026330084617132935,0.001341416294666998,0.1962857072917046,0.8443943545375541,5602,36,450,0.0065689553774790355,True,,dense=5602
T6R-dense-h2,OK,ret_lag4,-0.0011971317472807296,0.0010543713192514993,-1.135398626103161,0.2562615960755972,5602,36,450,0.0065689553774790355,True,,dense=5602
T6R-dense-h2,OK,ret_lag25,-0.00046181485878669996,0.0012190262897425232,-0.37883912978139483,0.7048230702325178,5602,36,450,0.0065689553774790355,True,,dense=5602
T6R-dense-h2,OK,log_market_cap,-0.013478699918951714,0.005200611122894593,-2.5917530844816645,0.009576006841316653,5602,36,450,0.0065689553774790355,True,,dense=5602
T6R-dense-h2,OK,turnover,-4.438960988104643e-05,0.0018171847435169402,-0.024427681356786947,0.9805124223738788,5602,36,450,0.0065689553774790355,True,,dense=5602
T6R-dense-h2,OK,amihud,-0.0010367007520200521,0.0009297899813540686,-1.1149837843060941,0.2649098152616918,5602,36,450,0.0065689553774790355,True,,dense=5602
T6R-dense-h2,OK,foreign_holding_pct,-0.0013169313075598083,0.003628631450802052,-0.3629278215258596,0.7166738168462687,5602,36,450,0.0065689553774790355,True,,dense=5602
T6R-dense-h3,OK,abn_attention_weekend,-0.0001271623050957296,0.0005171884188681008,-0.24587229809598649,0.8057909864763246,5590,36,449,0.005770534781542547,True,,dense=5590
T6R-dense-h3,OK,ret_lag1,1.5348985289155707e-05,0.0010813708272840571,0.01419400718225941,0.988675756498147,5590,36,449,0.005770534781542547,True,,dense=5590
T6R-dense-h3,OK,ret_lag4,-0.0004600994210684419,0.00136131682681443,-0.33798114590642686,0.7353913125300484,5590,36,449,0.005770534781542547,True,,dense=5590
T6R-dense-h3,OK,ret_lag25,-0.0010204325097755756,0.001178800308253822,-0.8656534127371925,0.386720989687543,5590,36,449,0.005770534781542547,True,,dense=5590
T6R-dense-h3,OK,log_market_cap,-0.01463708409432737,0.005514693054318255,-2.6541974231668015,0.007974417023060232,5590,36,449,0.005770534781542547,True,,dense=5590
T6R-dense-h3,OK,turnover,0.0013859653555460053,0.0014890763495193763,0.9307550657112701,0.3520243500630147,5590,36,449,0.005770534781542547,True,,dense=5590
T6R-dense-h3,OK,amihud,-0.0005269086293047711,0.0010026963188619748,-0.5254917360251148,0.5992642509562862,5590,36,449,0.005770534781542547,True,,dense=5590
T6R-dense-h3,OK,foreign_holding_pct,-0.0021051107022017745,0.0034757837811295964,-0.6056506488207485,0.5447737232706205,5590,36,449,0.005770534781542547,True,,dense=5590
T6R-dense-h4,OK,abn_attention_weekend,0.0004712399161589687,0.0005481890970239684,0.8596302237991514,0.3900334326796835,5576,36,448,0.007023102124778857,True,,dense=5576
T6R-dense-h4,OK,ret_lag1,-0.000847331862444119,0.001084212264087159,-0.7815184263364896,0.4345340281340304,5576,36,448,0.007023102124778857,True,,dense=5576
T6R-dense-h4,OK,ret_lag4,0.0001614317647108967,0.00130688335027965,0.12352423395427997,0.9016968672739321,5576,36,448,0.007023102124778857,True,,dense=5576
T6R-dense-h4,OK,ret_lag25,-0.0010296775788368106,0.0011381083536880859,-0.9047271953501607,0.3656527913306147,5576,36,448,0.007023102124778857,True,,dense=5576
T6R-dense-h4,OK,log_market_cap,-0.015781763286147766,0.0059436114618432595,-2.6552481412123554,0.007949716960142572,5576,36,448,0.007023102124778857,True,,dense=5576
T6R-dense-h4,OK,turnover,0.0020343350647434384,0.0015226602355069337,1.336040054967453,0.18159596809620027,5576,36,448,0.007023102124778857,True,,dense=5576
T6R-dense-h4,OK,amihud,-0.0007171734417180105,0.0011818569144368132,-0.6068191783264754,0.5439980106482882,5576,36,448,0.007023102124778857,True,,dense=5576
T6R-dense-h4,OK,foreign_holding_pct,-0.0027958282317787275,0.002889321077103768,-0.9676419328866154,0.3332692467609357,5576,36,448,0.007023102124778857,True,,dense=5576
T6R-dense-h5,OK,abn_attention_weekend,0.0002552024315906706,0.0007207593938817008,0.3540743745513462,0.7232978582430558,5564,36,447,0.004030633477029699,True,,dense=5564
T6R-dense-h5,OK,ret_lag1,-0.0010700380610280365,0.0010955553576430506,-0.9767083457380817,0.32876012507785535,5564,36,447,0.004030633477029699,True,,dense=5564
T6R-dense-h5,OK,ret_lag4,0.0010909250279406482,0.0013209949205540104,0.8258358991139243,0.40893601399858737,5564,36,447,0.004030633477029699,True,,dense=5564
