ticker,first_date,last_date,n_days,n_adjustments,min_adj_factor,n_missing_close,n_missing_inst,adjustment_method,adjustment_verified
1718,2014-01-02,2025-03-31,2742,4,0.7732888693102608,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1720,2014-01-02,2025-03-31,2742,12,0.584773725041229,1,319,backward from TaiwanStockDividendResult before/after reference price,True
1721,2014-01-02,2025-03-31,2735,4,0.8803919080719687,0,513,backward from TaiwanStockDividendResult before/after reference price,True
1731,2014-01-02,2025-03-31,2742,12,0.5929410155691544,0,605,backward from TaiwanStockDividendResult before/after reference price,True
1733,2014-01-02,2025-03-31,2742,12,0.5829418760354105,0,313,backward from TaiwanStockDividendResult before/after reference price,True
1734,2014-01-02,2025-03-31,2742,14,0.6581390427446608,2,345,backward from TaiwanStockDividendResult before/after reference price,True
1736,2014-01-02,2025-03-31,2742,12,0.5342499191570577,0,312,backward from TaiwanStockDividendResult before/after reference price,True
1752,2014-01-02,2025-03-31,2742,4,0.844622958044364,0,2027,backward from TaiwanStockDividendResult before/after reference price,True
1760,2014-01-02,2025-03-31,2742,9,0.8695488490996984,2,1064,backward from TaiwanStockDividendResult before/after reference price,True
1762,2014-01-02,2025-03-31,2742,12,0.771005083801136,0,352,backward from TaiwanStockDividendResult before/after reference price,True
1783,2014-01-02,2025-03-31,2742,8,0.7675431237746243,0,427,backward from TaiwanStockDividendResult before/after reference price,True
1786,2014-01-02,2025-03-31,2742,11,0.6577372419223191,0,375,backward from TaiwanStockDividendResult before/after reference price,True
1802,2014-01-02,2025-03-31,2742,7,0.8488690953773124,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1806,2014-01-02,2025-03-31,2735,3,0.8241963273782618,0,346,backward from TaiwanStockDividendResult before/after reference price,True
1809,2014-01-02,2025-03-31,2733,13,0.8122566153550147,1,438,backward from TaiwanStockDividendResult before/after reference price,True
1810,2014-01-02,2025-03-31,2736,11,0.8041766007467376,0,387,backward from TaiwanStockDividendResult before/after reference price,True
1817,2014-01-02,2025-03-31,2742,12,0.5161293685174785,0,405,backward from TaiwanStockDividendResult before/after reference price,True
1903,2014-01-02,2025-03-31,2742,0,1.0,7,556,no ex-rights/dividend event in window,True
