ticker,name_short,sector
3033,威健,電子通路
3036,文曄,電子通路
3048,益登,電子通路
3054,立萬利,電子通路
3055,蔚華科,電子通路
2427,三商電,資訊服務
2453,凌群,資訊服務
2468,華經,資訊服務
2471,資通,資訊服務
2480,敦陽科,資訊服務
3029,零壹,資訊服務
4994,傳奇,資訊服務
5203,訊連,資訊服務
6112,邁達特,資訊服務
6183,關貿,資訊服務
2616,山隆,油電燃氣
6505,台塑化,油電燃氣
8926,台汽電,油電燃氣
9908,大台北,油電燃氣
9918,欣天然,油電燃氣
9926,新海,油電燃氣
9931,欣高,油電燃氣
9937,全國,油電燃氣
2701,萬企,觀光餐旅
2702,華園,觀光餐旅
2704,國賓,觀光餐旅
2705,六福,觀光餐旅
2706,第一店,觀光餐旅
2707,晶華,觀光餐旅
2712,遠雄來,觀光餐旅
2722,夏都,觀光餐旅
2723,美食-KY,觀光餐旅
2727,王品,觀光餐旅
2801,彰銀,金融
2812,台中銀,金融
2816,旺旺保,金融
2820,華票,金融
2832,台產,金融
2834,臺企銀,金融
2836,高雄銀,金融
2838,聯邦銀,金融
2845,遠東銀,金融
2849,安泰銀,金融
2901,欣欣,貿易百貨
2903,遠百,貿易百貨
2905,三商,貿易百貨
2906,高林,貿易百貨
2908,特力,貿易百貨
2910,統領,貿易百貨
2911,麗嬰房,貿易百貨
2912,統一超,貿易百貨
2913,農林,貿易百貨
2915,潤泰全,貿易百貨
3130,一零四,數位雲端
6165,浪凡,數位雲端
6614,資拓宏宇,數位雲端
6689,伊雲谷,數位雲端
6902,GOGOLOOK,數位雲端
6906,現觀科,數位雲端
7721,微程式,數位雲端
7722,LINEPAY,數位雲端
7765,中華資安,數位雲端
8454,富邦媒,數位雲端
