kind,ticker,status,n_rows,first,last
price,2845,OK,2742,2014-01-02,2025-03-31
price,2849,OK,2742,2014-01-02,2025-03-31
price,2901,OK,2742,2014-01-02,2025-03-31
price,2903,OK,2742,2014-01-02,2025-03-31
price,2905,OK,2742,2014-01-02,2025-03-31
price,2906,OK,2742,2014-01-02,2025-03-31
price,2908,OK,2742,2014-01-02,2025-03-31
price,2910,OK,2741,2014-01-02,2025-03-31
price,2911,OK,2728,2014-01-02,2025-03-31
price,2912,OK,2742,2014-01-02,2025-03-31
price,2913,OK,2742,2014-01-02,2025-03-31
price,2915,OK,2735,2014-01-02,2025-03-31
price,3130,OK,2742,2014-01-02,2025-03-31
price,6165,OK,2732,2014-01-02,2025-03-31
price,6614,OK,136,2024-09-03,2025-03-31
price,6689,OK,1630,2018-07-17,2025-03-31
price,6902,OK,415,2023-07-13,2025-03-31
price,6906,OK,548,2022-12-15,2025-03-31
price,7721,OK,297,2024-01-02,2025-03-31
price,7722,OK,279,2024-01-26,2025-03-31
price,7765,OK,146,2024-08-20,2025-03-31
price,8454,OK,2708,2014-02-27,2025-03-31
inst,1101,OK,12506,2014-01-02,2025-03-31
inst,1102,OK,12509,2014-01-02,2025-03-31
inst,1103,OK,12473,2014-01-02,2025-03-31
inst,1104,OK,12488,2014-01-02,2025-03-31
inst,1108,OK,11698,2014-01-02,2025-03-31
inst,1109,OK,10952,2014-01-02,2025-03-31
inst,1110,OK,10728,2014-01-02,2025-03-31
inst,1201,OK,12500,2014-01-02,2025-03-31
inst,1203,OK,11160,2014-01-02,2025-03-31
inst,1210,OK,12514,2014-01-02,2025-03-31
inst,1213,OK,3480,2014-01-06,2025-03-31
inst,1215,OK,12510,2014-01-02,2025-03-31
inst,1216,OK,12510,2014-01-02,2025-03-31
inst,1217,OK,12477,2014-01-02,2025-03-31
inst,1218,OK,12492,2014-01-02,2025-03-31
inst,1219,OK,10893,2014-01-02,2025-03-31
inst,1220,OK,10356,2014-01-06,2025-03-31
inst,1301,OK,12514,2014-01-02,2025-03-31
inst,1303,OK,12514,2014-01-02,2025-03-31
inst,1304,OK,12496,2014-01-02,2025-03-31
inst,1305,OK,12514,2014-01-02,2025-03-31
inst,1307,OK,12397,2014-01-02,2025-03-31
inst,1308,OK,12493,2014-01-02,2025-03-31
inst,1309,MISSING,0,,
inst,1310,MISSING,0,,
inst,1312,MISSING,0,,
inst,1313,MISSING,0,,
inst,1319,MISSING,0,,
inst,1338,MISSING,0,,
inst,1339,MISSING,0,,
inst,1512,MISSING,0,,
inst,1521,MISSING,0,,
inst,1522,MISSING,0,,
inst,1524,MISSING,0,,
inst,1525,MISSING,0,,
inst,1533,MISSING,0,,
inst,1536,MISSING,0,,
inst,1402,MISSING,0,,
inst,1409,MISSING,0,,
inst,1410,MISSING,0,,
inst,1413,MISSING,0,,
inst,1414,MISSING,0,,
inst,1417,MISSING,0,,
inst,1418,MISSING,0,,
inst,1419,MISSING,0,,
inst,1423,MISSING,0,,
inst,1434,MISSING,0,,
inst,1432,MISSING,0,,
inst,1598,MISSING,0,,
inst,1736,MISSING,0,,
inst,2762,MISSING,0,,
inst,4536,MISSING,0,,
inst,5306,MISSING,0,,
inst,6670,MISSING,0,,
inst,6768,MISSING,0,,
inst,6890,MISSING,0,,
inst,6965,MISSING,0,,
inst,1471,MISSING,0,,
inst,1582,MISSING,0,,
inst,2059,MISSING,0,,
inst,2308,MISSING,0,,
inst,2313,MISSING,0,,
inst,2316,MISSING,0,,
inst,2327,MISSING,0,,
inst,2328,MISSING,0,,
inst,2355,MISSING,0,,
inst,2367,MISSING,0,,
inst,1503,MISSING,0,,
inst,1504,MISSING,0,,
