ticker,name_short,sector,n_matches,n_articles,n_weeks_nonzero,first_match,last_match,share_code_match,share_weekend
2009,第一銅,鋼鐵,229,229,76,2015-08-15 18:43:27,2024-11-04 23:02:40,0.37554585152838427,0.11790393013100436
1201,味全,食品,227,227,144,2015-05-11 13:26:43,2024-12-21 02:06:39,0.6343612334801763,0.2422907488986784
2360,致茂,其他電子,210,210,146,2015-04-30 17:52:42,2025-01-22 23:29:36,0.7857142857142857,0.09523809523809523
2915,潤泰全,貿易百貨,207,207,121,2015-04-27 23:16:04,2024-12-20 23:11:51,1.0,0.0821256038647343
8454,富邦媒,數位雲端,206,206,133,2015-05-13 06:36:04,2024-12-10 19:53:45,1.0,0.16019417475728157
1710,東聯,化學,203,203,133,2015-05-08 23:21:11,2024-10-03 14:35:42,0.7389162561576355,0.16748768472906403
2351,順德,半導體,203,203,117,2015-07-13 23:28:02,2024-12-27 15:59:16,0.7192118226600985,0.11822660098522167
1210,大成,食品,200,200,128,2015-05-08 22:53:05,2024-12-10 23:00:34,1.0,0.17
2006,東和鋼鐵,鋼鐵,198,198,101,2016-08-22 16:57:52,2025-01-08 18:02:42,0.51010101010101,0.08585858585858586
2406,國碩,光電,197,197,121,2015-05-04 22:46:11,2024-11-26 18:20:45,0.7411167512690355,0.12690355329949238
2355,敬鵬,電子零組件,195,195,111,2015-05-13 16:21:08,2024-11-05 17:56:23,0.8717948717948718,0.16923076923076924
3708,上緯投控,綠能環保,195,195,120,2016-10-05 10:17:13,2024-08-09 12:46:12,0.6615384615384615,0.14871794871794872
2820,華票,金融,192,192,140,2015-07-28 00:19:24,2024-11-14 23:27:46,0.421875,0.24479166666666666
1310,台苯,塑膠,190,190,118,2015-05-04 23:04:29,2025-01-21 20:53:40,0.7473684210526316,0.15789473684210525
2912,統一超,貿易百貨,189,189,129,2015-05-12 21:37:47,2025-01-14 21:09:14,1.0,0.12169312169312169
2903,遠百,貿易百貨,184,184,123,2015-05-04 22:46:11,2025-01-13 09:47:22,1.0,0.10326086956521739
2059,川湖,電子零組件,181,181,111,2015-04-28 17:54:09,2025-01-07 15:33:15,0.8287292817679558,0.12154696132596685
2013,中鋼構,鋼鐵,175,175,102,2015-04-27 20:15:53,2025-01-15 21:52:50,0.4,0.14285714285714285
2836,高雄銀,金融,172,172,120,2016-01-04 19:47:49,2025-01-10 18:20:31,0.42441860465116277,0.13953488372093023
1609,大亞,電器電纜,164,164,83,2016-03-29 16:28:36,2024-10-22 11:18:06,1.0,0.042682926829268296
9908,大台北,油電燃氣,162,162,123,2015-05-07 00:43:41,2024-12-17 10:17:18,0.10493827160493827,0.2037037037037037
2340,台亞,半導體,162,162,96,2015-06-10 17:03:34,2024-12-19 18:59:19,0.8950617283950617,0.08641975308641975
2607,榮運,航運,155,155,71,2015-07-12 00:26:36,2024-12-31 13:33:25,0.4838709677419355,0.16129032258064516
1708,東鹼,化學,155,155,75,2015-05-04 23:00:52,2024-11-25 09:46:18,0.7419354838709677,0.07741935483870968
