ticker,name_short,venue,source,official_abbreviation,name_matches_official,listing_date,is_ky
1903,士紙,TWSE,TWSE t187ap03_L,士紙,1,1963-12-09,0
1904,正隆,TWSE,TWSE t187ap03_L,正隆,1,1971-09-10,0
1905,華紙,TWSE,TWSE t187ap03_L,華紙,1,1975-02-07,0
1906,寶隆,TWSE,TWSE t187ap03_L,寶隆,1,1976-04-26,0
1907,永豐餘,TWSE,TWSE t187ap03_L,永豐餘,1,1977-02-22,0
1909,榮成,TWSE,TWSE t187ap03_L,榮成,1,1985-11-19,0
6790,永豐實,TWSE,TWSE t187ap03_L,永豐實,1,2021-09-29,0
2002,中鋼,TWSE,TWSE t187ap03_L,中鋼,1,1974-12-26,0
2006,東和鋼鐵,TWSE,TWSE t187ap03_L,東和鋼鐵,1,1988-07-13,0
2007,燁興,TWSE,TWSE t187ap03_L,燁興,1,1988-10-04,0
2008,高興昌,TWSE,TWSE t187ap03_L,高興昌,1,1988-12-28,0
2009,第一銅,TWSE,TWSE t187ap03_L,第一銅,1,1989-10-20,0
2010,春源,TWSE,TWSE t187ap03_L,春源,1,1989-12-22,0
2012,春雨,TWSE,TWSE t187ap03_L,春雨,1,1991-10-17,0
2013,中鋼構,TWSE,TWSE t187ap03_L,中鋼構,1,1992-01-21,0
2014,中鴻,TWSE,TWSE t187ap03_L,中鴻,1,1992-02-20,0
2015,豐興,TWSE,TWSE t187ap03_L,豐興,1,1992-05-25,0
2062,橋椿,TWSE,TWSE t187ap03_L,橋椿,1,2007-11-16,0
3557,嘉威,TWSE,TWSE t187ap03_L,嘉威,1,2008-02-27,0
6671,三能-KY,TWSE,TWSE t187ap03_L,三能-KY,1,2018-12-11,1
6754,匯僑設計,TWSE,TWSE t187ap03_L,匯僑設計,1,2020-08-25,0
6807,峰源-KY,TWSE,TWSE t187ap03_L,峰源-KY,1,2022-04-25,1
8464,億豐,TWSE,TWSE t187ap03_L,億豐,1,2015-12-22,0
8482,商億-KY,TWSE,TWSE t187ap03_L,商億-KY,1,2018-08-15,1
9911,櫻花,TWSE,TWSE t187ap03_L,櫻花,1,1992-07-16,0
9924,福興,TWSE,TWSE t187ap03_L,福興,1,1995-03-15,0
9934,成霖,TWSE,TWSE t187ap03_L,成霖,1,2000-09-11,0
2072,世紀風電,TWSE,TWSE t187ap03_L,世紀風電,1,2026-03-26,0
3708,上緯投控,TWSE,TWSE t187ap03_L,上緯投控,1,2016-08-31,0
5292,華懋,TWSE,TWSE t187ap03_L,華懋,1,2023-11-21,0
6581,鋼聯,TWSE,TWSE t187ap03_L,鋼聯,1,2018-01-30,0
6641,基士德-KY,TWSE,TWSE t187ap03_L,基士德-KY,1,2018-09-21,1
6869,雲豹能源,TWSE,TWSE t187ap03_L,雲豹能源,1,2023-03-14,0
6873,泓德能源,TWSE,TWSE t187ap03_L,泓德能源,1,2024-09-26,0
6887,寶綠特-KY,TWSE,TWSE t187ap03_L,寶綠特-KY,1,2025-03-10,1
6923,中台,TWSE,TWSE t187ap03_L,中台,1,2024-09-25,0
6944,兆聯實業,TWSE,TWSE t187ap03_L,兆聯實業,1,2025-05-28,0
2101,南港,TWSE,TWSE t187ap03_L,南港,1,1963-11-01,0
2102,泰豐,TWSE,TWSE t187ap03_L,泰豐,1,1979-07-16,0
2103,台橡,TWSE,TWSE t187ap03_L,台橡,1,1982-09-25,0
2104,國際中橡,TWSE,TWSE t187ap03_L,國際中橡,1,1986-07-15,0
2105,正新,TWSE,TWSE t187ap03_L,正新,1,1987-12-07,0
2106,建大,TWSE,TWSE t187ap03_L,建大,1,1990-12-20,0
2107,厚生,TWSE,TWSE t187ap03_L,厚生,1,1992-03-03,0
2108,南帝,TWSE,TWSE t187ap03_L,南帝,1,1992-10-27,0
2109,華豐,TWSE,TWSE t187ap03_L,華豐,1,2000-05-08,0
2114,鑫永銓,TWSE,TWSE t187ap03_L,鑫永銓,1,2010-12-29,0
2208,台船,TWSE,TWSE t187ap03_L,台船,1,2008-12-22,0
2601,益航,TWSE,TWSE t187ap03_L,益航,1,1965-11-04,0
2603,長榮,TWSE,TWSE t187ap03_L,長榮,1,1987-09-21,0
2605,新興,TWSE,TWSE t187ap03_L,新興,1,1989-12-08,0
2606,裕民,TWSE,TWSE t187ap03_L,裕民,1,1990-12-08,0
2607,榮運,TWSE,TWSE t187ap03_L,榮運,1,1990-12-14,0
2608,嘉里大榮,TWSE,TWSE t187ap03_L,嘉里大榮,1,1990-12-20,0
2609,陽明,TWSE,TWSE t187ap03_L,陽明,1,1992-04-20,0
2610,華航,TWSE,TWSE t187ap03_L,華航,1,1993-02-26,0
2611,志信,TWSE,TWSE t187ap03_L,志信,1,1993-10-28,0
2302,麗正,TWSE,TWSE t187ap03_L,麗正,1,1985-01-15,0
2303,聯電,TWSE,TWSE t187ap03_L,聯電,1,1985-07-16,0
2329,華泰,TWSE,TWSE t187ap03_L,華泰,1,1994-04-20,0
2330,台積電,TWSE,TWSE t187ap03_L,台積電,1,1994-09-05,0
2337,旺宏,TWSE,TWSE t187ap03_L,旺宏,1,1995-03-15,0
2338,光罩,TWSE,TWSE t187ap03_L,光罩,1,1995-04-17,0
2340,台亞,TWSE,TWSE t187ap03_L,台亞,1,1995-05-02,0
2342,茂矽,TWSE,TWSE t187ap03_L,茂矽,1,1995-09-19,0
2344,華邦電,TWSE,TWSE t187ap03_L,華邦電,1,1995-10-18,0
2351,順德,TWSE,TWSE t187ap03_L,順德,1,1996-04-25,0
2312,金寶,TWSE,TWSE t187ap03_L,金寶,1,1989-11-07,0
2317,鴻海,TWSE,TWSE t187ap03_L,鴻海,1,1991-06-18,0
2354,鴻準,TWSE,TWSE t187ap03_L,鴻準,1,1996-10-08,0
2359,所羅門,TWSE,TWSE t187ap03_L,所羅門,1,1996-12-19,0
2360,致茂,TWSE,TWSE t187ap03_L,致茂,1,1996-12-21,0
2373,震旦行,TWSE,TWSE t187ap03_L,震旦行,1,1991-08-01,0
2390,云辰,TWSE,TWSE t187ap03_L,云辰,1,1999-06-15,0
2404,漢唐,TWSE,TWSE t187ap03_L,漢唐,1,2000-03-14,0
2423,固緯,TWSE,TWSE t187ap03_L,固緯,1,2000-09-11,0
2433,互盛電,TWSE,TWSE t187ap03_L,互盛電,1,2000-09-11,0
2323,中環,TWSE,TWSE t187ap03_L,中環,1,1992-02-17,0
2349,錸德,TWSE,TWSE t187ap03_L,錸德,1,1996-04-23,0
2374,佳能,TWSE,TWSE t187ap03_L,佳能,1,1995-01-16,0
2393,億光,TWSE,TWSE t187ap03_L,億光,1,1999-11-04,0
2406,國碩,TWSE,TWSE t187ap03_L,國碩,1,2000-04-29,0
2409,友達,TWSE,TWSE t187ap03_L,友達,1,2000-09-08,0
2426,鼎元,TWSE,TWSE t187ap03_L,鼎元,1,2000-09-11,0
2429,銘旺科,TWSE,TWSE t187ap03_L,銘旺科,1,2000-09-11,0
2438,翔耀,TWSE,TWSE t187ap03_L,翔耀,1,2000-09-11,0
2466,冠西電,TWSE,TWSE t187ap03_L,冠西電,1,2001-09-17,0
2347,聯強,TWSE,TWSE t187ap03_L,聯強,1,1995-12-13,0
2414,精技,TWSE,TWSE t187ap03_L,精技,1,2000-09-11,0
2430,燦坤,TWSE,TWSE t187ap03_L,燦坤,1,2000-09-11,0
3010,華立,TWSE,TWSE t187ap03_L,華立,1,2002-07-22,0
3028,增你強,TWSE,TWSE t187ap03_L,增你強,1,2002-08-26,0
3033,威健,TWSE,TWSE t187ap03_L,威健,1,2002-08-26,0
3036,文曄,TWSE,TWSE t187ap03_L,文曄,1,2002-08-26,0
3048,益登,TWSE,TWSE t187ap03_L,益登,1,2002-10-01,0
3054,立萬利,TWSE,TWSE t187ap03_L,立萬利,1,2002-11-18,0
3055,蔚華科,TWSE,TWSE t187ap03_L,蔚華科,1,2002-12-12,0
2427,三商電,TWSE,TWSE t187ap03_L,三商電,1,2000-09-11,0
2453,凌群,TWSE,TWSE t187ap03_L,凌群,1,2001-05-22,0
2468,華經,TWSE,TWSE t187ap03_L,華經,1,2001-09-17,0
2471,資通,TWSE,TWSE t187ap03_L,資通,1,2001-09-17,0
2480,敦陽科,TWSE,TWSE t187ap03_L,敦陽科,1,2001-09-17,0
3029,零壹,TWSE,TWSE t187ap03_L,零壹,1,2002-08-26,0
4994,傳奇,TWSE,TWSE t187ap03_L,傳奇,1,2013-12-25,0
5203,訊連,TWSE,TWSE t187ap03_L,訊連,1,2004-09-27,0
6112,邁達特,TWSE,TWSE t187ap03_L,邁達特,1,2003-08-04,0
6183,關貿,TWSE,TWSE t187ap03_L,關貿,1,2011-12-01,0
2616,山隆,TWSE,TWSE t187ap03_L,山隆,1,1997-11-08,0
6505,台塑化,TWSE,TWSE t187ap03_L,台塑化,1,2003-12-26,0
8926,台汽電,TWSE,TWSE t187ap03_L,台汽電,1,2003-08-25,0
