ticker,name_short,sector,collision_group,is_code_only,code_only_reason,variants,match_mode,blocked_after,blocked_before,n_matches,n_code,n_name,n_name_with_context
2303,聯電,半導體,,False,,聯電,name_with_context,,,4179,2035,0,2144
2308,台達電,電子零組件,,False,,台達電,name,,,1441,694,747,0
2312,金寶,其他電子,,False,,金寶,name_with_context,,,350,135,0,215
2313,華通,電子零組件,,False,,華通,name_with_context,,,976,737,0,239
2316,楠梓電,電子零組件,,False,,楠梓電,name,,,344,243,101,0
2317,鴻海,其他電子,,False,,鴻海,name_with_context,,,6211,2990,0,3221
2323,中環,光電,,False,,中環,name_with_context,,,789,464,0,325
2327,國巨*,電子零組件,,False,,國巨;國巨*,name_with_context,,,2296,884,0,1412
2328,廣宇,電子零組件,,False,,廣宇,name_with_context,,,128,73,0,55
2329,華泰,半導體,,False,,華泰,name_with_context,,,240,159,0,81
2330,台積電,半導體,,False,,台積電;台積,name,,,27108,6638,20470,0
2337,旺宏,半導體,,False,,旺宏,name_with_context,,,1296,733,0,563
2338,光罩,半導體,,False,,光罩,name_with_context,,,297,178,0,119
2342,茂矽,半導體,,False,,茂矽,name_with_context,,,91,65,0,26
2344,華邦電,半導體,,False,,華邦電,name,,,1392,707,685,0
2347,聯強,電子通路,,False,,聯強,name_with_context,,,354,283,0,71
2349,錸德,光電,,False,,錸德,name_with_context,,,281,183,0,98
2351,順德,半導體,,False,,順德,name_with_context,,,203,146,0,57
2354,鴻準,其他電子,,False,,鴻準,name_with_context,,,461,318,0,143
2355,敬鵬,電子零組件,,False,,敬鵬,name_with_context,,,195,170,0,25
2359,所羅門,其他電子,,False,,所羅門,name,,,240,157,83,0
2360,致茂,其他電子,,False,,致茂,name_with_context,,,210,165,0,45
2367,燿華,電子零組件,,False,,燿華,name_with_context,,,383,276,0,107
2373,震旦行,其他電子,,False,,震旦行,name,,,46,27,19,0
2374,佳能,光電,,False,,佳能,name_with_context,,,117,90,0,27
2390,云辰,其他電子,,True,云辰,云辰,name_with_context,,,33,33,0,0
2393,億光,光電,,False,,億光,name_with_context,,,130,62,0,68
2404,漢唐,其他電子,,False,,漢唐,name_with_context,,,293,220,0,73
2406,國碩,光電,,False,,國碩,name_with_context,,,197,146,0,51
2409,友達,光電,,False,,友達,name_with_context,,,3231,1595,0,1636
2414,精技,電子通路,,False,,精技,name_with_context,,,39,17,0,22
2423,固緯,其他電子,,True,固緯,固緯,name_with_context,,,10,10,0,0
2426,鼎元,光電,,False,,鼎元,name_with_context,,,65,38,0,27
2429,銘旺科,光電,,False,,銘旺科,name,,,26,18,8,0
2430,燦坤,電子通路,,True,燦坤,燦坤,name_with_context,,,42,42,0,0
2433,互盛電,其他電子,,False,,互盛電,name,,,16,9,7,0
2438,翔耀,光電,,False,,翔耀,name_with_context,,,39,27,0,12
2453,凌群,資訊服務,,False,,凌群,name_with_context,,,63,49,0,14
2466,冠西電,光電,,False,,冠西電,name,,,20,10,10,0
2468,華經,資訊服務,,True,華經,華經,name_with_context,,,18,18,0,0
2471,資通,資訊服務,,True,資通,資通,name_with_context,,,25,25,0,0
2480,敦陽科,資訊服務,,False,,敦陽科,name,,,96,58,38,0
2601,益航,航運,,False,,益航,name_with_context,,,104,66,0,38
2605,新興,航運,,False,,新興,name_with_context,市場;國家;經濟體;產業;債;電商;科技;應用;經濟,-;－,512,141,0,371
2606,裕民,航運,,False,,裕民,name_with_context,,,539,354,0,185
2607,榮運,航運,,False,,榮運,name_with_context,,,155,75,0,80
2608,嘉里大榮,航運,,False,,嘉里大榮,name,,,103,63,40,0
2609,陽明,航運,,False,,陽明;陽明海運,name_with_context,,,5436,1982,0,3454
2610,華航,航運,,False,,華航,name_with_context,,,2138,1148,0,990
2611,志信,航運,,False,,志信,name_with_context,,,90,59,0,31
2616,山隆,油電燃氣,,False,,山隆,name_with_context,,,86,56,0,30
2701,萬企,觀光餐旅,,False,,萬企,name_with_context,,,13,4,0,9
2702,華園,觀光餐旅,,False,,華園,name_with_context,,,45,25,0,20
2704,國賓,觀光餐旅,,True,國賓,國賓,name_with_context,,,35,35,0,0
2705,六福,觀光餐旅,,True,六福,六福,name_with_context,,,55,55,0,0
2706,第一店,觀光餐旅,,True,第一店,第一店,name,,,28,28,0,0
2707,晶華,觀光餐旅,,True,晶華,晶華,name_with_context,,,106,106,0,0
2712,遠雄來,觀光餐旅,,False,,遠雄來,name,,,19,9,10,0
2722,夏都,觀光餐旅,,False,,夏都,name_with_context,,,47,24,0,23
2723,美食-KY,觀光餐旅,,True,美食-KY,美食;美食-KY,name_with_context,,,105,105,0,0
2727,王品,觀光餐旅,,True,王品,王品,name_with_context,,,152,152,0,0
2762,世界健身-KY,運動休閒,,True,世界健身-KY,世界健身;世界健身-KY,name,,,14,14,0,0
2801,彰銀,金融,,False,,彰銀,name_with_context,,,579,278,0,301
2812,台中銀,金融,,False,,台中銀,name,,,552,184,368,0
2816,旺旺保,金融,,False,,旺旺保,name,,,37,23,14,0
2820,華票,金融,,False,,華票,name_with_context,,,192,81,0,111
2832,台產,金融,,False,,台產,name_with_context,,,88,34,0,54
2834,臺企銀,金融,,False,,臺企銀,name,,,784,391,393,0
2836,高雄銀,金融,,False,,高雄銀,name,,,172,73,99,0
2838,聯邦銀,金融,,False,,聯邦銀,name,,,284,107,177,0
2845,遠東銀,金融,,True,遠東銀,遠東銀,name,,,150,150,0,0
2849,安泰銀,金融,,False,,安泰銀,name,,,130,39,91,0
2901,欣欣,貿易百貨,,False,,欣欣,name_with_context,,,87,5,0,82
2903,遠百,貿易百貨,,True,遠百,遠百,name_with_context,,,184,184,0,0
2906,高林,貿易百貨,,False,,高林,name_with_context,,,39,24,0,15
2908,特力,貿易百貨,,True,特力,特力,name_with_context,,,30,30,0,0
2910,統領,貿易百貨,,True,統領,統領,name_with_context,,,8,8,0,0
2911,麗嬰房,貿易百貨,,True,麗嬰房,麗嬰房,name,,,25,25,0,0
2913,農林,貿易百貨,,True,農林,農林,name_with_context,,,42,42,0,0
2915,潤泰全,貿易百貨,,True,潤泰全,潤泰全,name,,,207,207,0,0
3010,華立,電子通路,,False,,華立,name_with_context,,,76,54,0,22
3028,增你強,電子通路,,False,,增你強,name,,,54,29,25,0
3029,零壹,資訊服務,,True,零壹,零壹,name_with_context,,,128,128,0,0
3033,威健,電子通路,,False,,威健,name_with_context,,,92,73,0,19
3036,文曄,電子通路,,False,,文曄,name_with_context,,,370,269,0,101
3048,益登,電子通路,,False,,益登,name_with_context,,,86,70,0,16
3054,立萬利,電子通路,,False,,立萬利,name,,,29,15,14,0
3055,蔚華科,電子通路,,False,,蔚華科,name,,,70,51,19,0
3130,一零四,數位雲端,,True,一零四,一零四,name,,,19,19,0,0
3557,嘉威,居家生活,,False,,嘉威,name_with_context,,,89,89,0,0
3708,上緯投控,綠能環保,,False,,上緯投控,name,,,195,129,66,0
4536,拓凱,運動休閒,,False,,拓凱,name_with_context,,,30,25,0,5
4994,傳奇,資訊服務,,True,傳奇,傳奇,name_with_context,,,40,40,0,0
5203,訊連,資訊服務,,False,,訊連,name_with_context,,,55,37,0,18
5292,華懋,綠能環保,,False,,華懋,name_with_context,,,6,6,0,0
5306,桂盟,運動休閒,,False,,桂盟,name_with_context,,,59,45,0,14
6112,邁達特,資訊服務,,False,,邁達特,name,,,75,50,25,0
6165,浪凡,數位雲端,,False,,浪凡,name_with_context,,,31,26,0,5
6183,關貿,資訊服務,,False,,關貿,name_with_context,,,19,16,0,3
6581,鋼聯,綠能環保,,False,,鋼聯,name_with_context,,,20,14,0,6
6614,資拓宏宇,數位雲端,,False,,資拓宏宇,name,,,6,0,6,0
6641,基士德-KY,綠能環保,,False,,基士德;基士德-KY,name,,,6,1,5,0
6670,復盛應用,運動休閒,,False,,復盛應用,name,,,51,35,16,0
6671,三能-KY,居家生活,,False,,三能;三能-KY,name_with_context,,,20,14,0,6
6689,伊雲谷,數位雲端,,False,,伊雲谷,name,,,26,11,15,0
6754,匯僑設計,居家生活,,False,,匯僑設計,name,,,9,7,2,0
6768,志強-KY,運動休閒,,False,,志強;志強-KY,name_with_context,,,47,17,0,30
6807,峰源-KY,居家生活,,False,,峰源;峰源-KY,name_with_context,,,12,7,0,5
6869,雲豹能源,綠能環保,,False,,雲豹能源,name,,,278,164,114,0
6873,泓德能源,綠能環保,,False,,泓德能源,name,,,55,32,23,0
6887,寶綠特-KY,綠能環保,,False,,寶綠特;寶綠特-KY,name,,,0,0,0,0
6890,來億-KY,運動休閒,,False,,來億;來億-KY,name_with_context,,,33,22,0,11
6902,GOGOLOOK,數位雲端,,True,GOGOLOOK,GOGOLOOK,name,,,19,19,0,0
6906,現觀科,數位雲端,,False,,現觀科,name,,,7,2,5,0
6923,中台,綠能環保,,True,中台,中台,name_with_context,,,5,5,0,0
6944,兆聯實業,綠能環保,,False,,兆聯實業,name,,,8,6,2,0
6965,中傑-KY,運動休閒,,False,,中傑;中傑-KY,name_with_context,,,3,1,0,2
7721,微程式,數位雲端,,False,,微程式,name,,,5,2,3,0
7722,LINEPAY,數位雲端,,True,LINEPAY,LINEPAY,name,,,22,22,0,0
7765,中華資安,數位雲端,,False,,中華資安,name,,,7,0,7,0
8454,富邦媒,數位雲端,,True,富邦媒,富邦媒,name,,,206,206,0,0
8464,億豐,居家生活,,False,,億豐,name_with_context,,,73,43,0,30
8482,商億-KY,居家生活,,False,,商億;商億-KY,name_with_context,,,6,2,0,4
8926,台汽電,油電燃氣,,False,,台汽電,name,,,151,76,75,0
9908,大台北,油電燃氣,,False,,大台北,name,,,162,17,145,0
9911,櫻花,居家生活,,True,櫻花,櫻花,name_with_context,,,49,49,0,0
9918,欣天然,油電燃氣,,False,,欣天然,name,,,19,10,9,0
9924,福興,居家生活,,False,,福興,name_with_context,,,83,70,0,13
9926,新海,油電燃氣,,False,,新海,name_with_context,,,18,11,0,7
9931,欣高,油電燃氣,,False,,欣高,name_with_context,,,10,7,0,3
9934,成霖,居家生活,,False,,成霖,name_with_context,,,43,33,0,10
9937,全國,油電燃氣,,True,全國,全國,name_with_context,,,10,10,0,0
