ticker,month,n_matches
1218,2016-08,1
1218,2016-10,1
1218,2016-11,1
1218,2016-12,1
1218,2017-05,1
1218,2017-06,1
1218,2017-07,4
1218,2017-08,5
1218,2017-12,4
1218,2018-01,2
1218,2018-03,3
1218,2018-04,1
1218,2018-05,4
1218,2018-06,3
1218,2018-07,1
1218,2018-09,2
1218,2018-10,1
1218,2018-11,4
1218,2018-12,1
1218,2019-01,7
1218,2019-04,2
1218,2019-05,5
1218,2019-06,3
1218,2019-07,1
1218,2019-08,2
1218,2019-09,1
1218,2019-10,1
1218,2019-12,2
1218,2020-02,3
1218,2020-03,2
1218,2020-04,1
1218,2020-05,6
1218,2020-06,7
1218,2021-01,2
1218,2021-02,1
1218,2021-03,2
1218,2021-04,3
1218,2021-05,7
1218,2021-06,4
1218,2021-07,2
1218,2021-09,2
1218,2021-10,1
1218,2021-11,1
1218,2021-12,2
1218,2022-01,1
1218,2022-04,4
1218,2022-06,2
1218,2022-07,2
1218,2022-08,8
1218,2022-11,1
1218,2022-12,25
1218,2023-01,11
1218,2023-02,5
1218,2023-03,3
1218,2023-04,1
1218,2023-05,24
1218,2023-06,5
1218,2023-07,2
1218,2023-08,3
1218,2023-09,2
1218,2023-12,2
1218,2024-01,2
1218,2024-02,1
1218,2024-03,3
1218,2024-04,4
1218,2024-05,3
1218,2024-06,2
1218,2024-07,2
1218,2024-08,1
1218,2024-10,1
1218,2024-11,2
1218,2024-12,3
1218,2025-01,1
1219,2015-06,2
1219,2015-07,1
1219,2015-08,1
1219,2015-09,1
1219,2017-04,1
1219,2017-06,1
1219,2017-11,1
1219,2020-07,1
1219,2021-04,3
1219,2021-05,4
1219,2021-11,1
1219,2022-03,3
1219,2022-04,11
1219,2022-05,1
1219,2022-07,2
1219,2022-09,2
1219,2022-10,1
1219,2022-11,2
1219,2022-12,4
1219,2023-02,2
1219,2023-03,2
1219,2023-05,1
1219,2023-08,2
1219,2023-09,1
1219,2023-12,2
1219,2024-03,2
1219,2024-04,1
1219,2024-06,1
1219,2024-12,2
1220,2016-06,2
1220,2016-10,2
1220,2016-11,2
1220,2017-07,1
1220,2020-01,1
1220,2020-06,1
1220,2020-07,1
1220,2021-05,5
1220,2021-08,1
1220,2021-12,7
1220,2022-03,3
1220,2022-04,9
1220,2022-07,2
1220,2022-08,1
1220,2022-12,5
1220,2023-03,2
1220,2023-04,1
1220,2023-06,1
1220,2023-07,2
1220,2023-12,3
1220,2024-03,1
1220,2024-04,1
1220,2024-07,2
1220,2024-11,1
1220,2024-12,3
1301,2015-05,6
1301,2015-06,10
1301,2015-07,18
1301,2015-08,15
1301,2015-09,9
1301,2015-10,11
1301,2015-11,6
1301,2015-12,11
1301,2016-01,11
1301,2016-02,3
1301,2016-03,11
1301,2016-04,4
1301,2016-05,11
1301,2016-06,12
1301,2016-07,20
1301,2016-08,15
