ticker,name_short,sector,n_code_matches,n_name_matches,n_nonzero_weeks_code,n_nonzero_weeks_name,corr_test_powered,code_name_corr,corr_verdict,corr_fail,already_code_only,recommend_demote_to_code_only,n_obs,beta_turnover,t_turnover,beta_absret,t_absret,comovement_pass,comovement_note,match_quality_tier
1717,長興,化學,280,20,154,18,False,,insufficient_power,False,False,False,500.0,0.06300646826834501,3.7893043836443163,0.6868844664417537,1.1032553466046717,True,,D_corr_untested
1718,中纖,化學,409,38,216,29,True,0.0988803685398676,fail,True,False,True,501.0,0.10398022588143346,4.645957665557265,0.11622418013194635,0.1919412392365627,True,,B_code_only
1720,生達,生技,176,34,116,25,True,0.15328128628508988,fail,True,False,True,501.0,0.09098296124392041,3.9611907428372186,0.30108431377952116,0.39791879659779444,True,,B_code_only
1721,三晃,化學,191,36,95,13,False,,insufficient_power,False,False,False,500.0,0.08293791099203762,2.7158145196556625,2.004186657573861,2.916524452607233,True,,D_corr_untested
1731,美吾華,生技,147,20,91,18,False,,insufficient_power,False,False,False,501.0,0.07097052539265557,4.143271547656058,1.3489154958260874,1.39093970628142,True,,D_corr_untested
1733,五鼎,生技,125,3,77,2,False,,insufficient_power,False,False,False,501.0,0.022932824558558537,1.7512260603669467,-0.25395139946846845,-0.7401212639328691,False,,C_suspect_no_comovement
1734,杏輝,生技,144,93,85,37,True,0.2833490139577671,fail,True,False,True,501.0,0.07500011410282825,3.847351338745633,3.777912547818835,4.8613702453148875,True,,B_code_only
1736,喬山,運動休閒,247,0,126,0,False,,insufficient_power,False,True,False,501.0,0.04190491514909206,3.120851436952054,0.8521523081605467,1.332264425837907,True,,B_code_only
1752,南光,生技,169,18,101,16,False,,insufficient_power,False,False,False,153.0,0.08164326877052508,2.3622257190661298,1.1919222538116105,0.8454236589981816,True,,D_corr_untested
1760,寶齡富錦,生技,378,145,134,68,True,0.5937101042106208,pass,False,False,False,359.0,0.2665755554044286,8.48224813622067,1.654762769459724,2.3617364156890637,True,,A_clean
1762,中化生,生技,194,28,107,19,False,,insufficient_power,False,False,False,501.0,0.08104557989172465,3.8798183473194774,0.8481693175031545,1.817043521396298,True,,D_corr_untested
1783,和康生,生技,157,22,86,18,False,,insufficient_power,False,False,False,501.0,0.06531655939582748,4.08069097768624,0.9255669294452482,1.6357626803534275,True,,D_corr_untested
1786,科妍,生技,129,17,73,13,False,,insufficient_power,False,False,False,501.0,0.05973309138081583,3.5305312830258604,0.5183706661692433,0.8615168845211261,True,,D_corr_untested
1802,台玻,玻璃,773,71,248,48,True,0.19773874542246503,fail,True,False,True,501.0,0.18770748711531343,5.761874609693705,1.7674840616405079,2.3691651046550666,True,,B_code_only
1806,冠軍,玻璃,153,0,82,0,False,,insufficient_power,False,True,False,500.0,0.02393095338339861,2.020582411814049,0.03702228665193724,0.0941464442019943,True,,B_code_only
1809,中釉,玻璃,132,10,80,10,False,,insufficient_power,False,False,False,500.0,0.0044537565973458175,0.6670060316265958,2.2863149676972814,3.463632461653713,True,,D_corr_untested
1810,和成,玻璃,161,218,96,157,True,0.06994843595680844,fail,True,False,True,501.0,0.06664681167865132,3.5258056112134826,1.0683265007610152,1.835357807869764,True,,B_code_only
1817,凱撒衛,玻璃,134,6,85,5,False,,insufficient_power,False,False,False,501.0,0.03259569850061076,2.322376629690151,0.21472042678873043,0.2430011154745099,True,,D_corr_untested
1903,士紙,造紙,132,20,87,19,False,,insufficient_power,False,False,False,501.0,0.009190304228074195,0.8600244511036605,2.5679450665395147,4.268303712648204,True,,D_corr_untested
1904,正隆,造紙,418,102,205,72,True,0.14200622431447077,fail,True,False,True,501.0,0.1620101601165284,6.547309806710904,2.6200440365502553,2.7362701573102153,True,,B_code_only
1905,華紙,造紙,310,49,160,30,True,0.2801922659186528,fail,True,False,True,500.0,0.09478068705735607,4.862828422084224,1.3792265040922955,1.6253515098667746,True,,B_code_only
1906,寶隆,造紙,140,14,84,12,False,,insufficient_power,False,False,False,501.0,0.04905190464548238,3.5896224432013555,1.2935191733068365,1.664893257563846,True,,D_corr_untested
1907,永豐餘,造紙,408,228,174,131,True,0.29195740108119833,fail,True,False,True,501.0,0.2983977926941647,7.936407237487079,1.7303665318251018,1.6745077373255834,True,,B_code_only
1909,榮成,造紙,655,123,259,83,True,0.3031440972437865,fail,True,False,True,501.0,0.25389213085244355,7.970579899302183,0.7688569284670854,1.0935938948967394,True,,B_code_only
2002,中鋼,鋼鐵,3084,1273,465,391,True,0.2637713940134927,fail,True,False,True,501.0,0.605932441355506,10.853590266441019,1.1293894265005688,0.870123286010554,True,,B_code_only
2006,東和鋼鐵,鋼鐵,604,99,206,54,True,0.2571471555800596,fail,True,False,True,500.0,0.211228358628618,6.493698272188461,2.202256206776067,2.137006790867464,True,,B_code_only
2007,燁興,鋼鐵,118,35,60,25,True,0.28582216724637194,fail,True,False,True,500.0,0.07628158398376207,3.2763973265584965,0.9075524564980071,1.5496873477844129,True,,B_code_only
2008,高興昌,鋼鐵,68,18,33,16,False,,insufficient_power,False,False,False,501.0,0.033824127800175754,2.4617052433330597,0.691963764505171,1.4411570979775719,True,,D_corr_untested
2009,第一銅,鋼鐵,193,143,91,56,True,0.44767105404754004,fail,True,False,True,501.0,0.14148143175983727,6.094485665220764,1.6890934491423673,1.9997226865019573,True,,B_code_only
2010,春源,鋼鐵,150,0,64,0,False,,insufficient_power,False,True,False,501.0,0.015762824884129754,1.8853421415313523,1.2334871213047354,1.3379023032354973,False,,C_suspect_no_comovement
2012,春雨,鋼鐵,78,0,44,0,False,,insufficient_power,False,True,False,501.0,0.03736136918601267,1.7771911411330292,0.0856361619389106,0.1774505052720409,False,,C_suspect_no_comovement
2013,中鋼構,鋼鐵,132,105,71,62,True,0.20519292788649088,fail,True,False,True,501.0,0.08219608757422177,5.4514149021452525,2.123305842045897,2.1704205100122875,True,,B_code_only
2014,中鴻,鋼鐵,1153,302,317,131,True,0.3289248587018029,fail,True,False,True,501.0,0.3063100895744175,6.822516134273077,1.6486259993343904,1.5826589106165942,True,,B_code_only
