ticker,name_short,sector,listing_date,delisting_date,listed_before_sample_end,n_panel_weeks,first_panel_week,last_panel_week,excluded_reason
1817,凱撒衛,玻璃,2013-10-24,,True,506,2015-05-03,2025-01-05,
1903,士紙,造紙,1963-12-09,,True,506,2015-05-03,2025-01-05,
1904,正隆,造紙,1971-09-10,,True,506,2015-05-03,2025-01-05,
1905,華紙,造紙,1975-02-07,,True,506,2015-05-03,2025-01-05,
1906,寶隆,造紙,1976-04-26,,True,506,2015-05-03,2025-01-05,
1907,永豐餘,造紙,1977-02-22,,True,506,2015-05-03,2025-01-05,
1909,榮成,造紙,1985-11-19,,True,506,2015-05-03,2025-01-05,
6790,永豐實,造紙,2021-09-29,,True,171,2021-10-03,2025-01-05,
2002,中鋼,鋼鐵,1974-12-26,,True,506,2015-05-03,2025-01-05,
2006,東和鋼鐵,鋼鐵,1988-07-13,,True,506,2015-05-03,2025-01-05,
2007,燁興,鋼鐵,1988-10-04,,True,506,2015-05-03,2025-01-05,
2008,高興昌,鋼鐵,1988-12-28,,True,506,2015-05-03,2025-01-05,
2009,第一銅,鋼鐵,1989-10-20,,True,506,2015-05-03,2025-01-05,
2010,春源,鋼鐵,1989-12-22,,True,506,2015-05-03,2025-01-05,
2012,春雨,鋼鐵,1991-10-17,,True,506,2015-05-03,2025-01-05,
2013,中鋼構,鋼鐵,1992-01-21,,True,506,2015-05-03,2025-01-05,
2014,中鴻,鋼鐵,1992-02-20,,True,506,2015-05-03,2025-01-05,
2015,豐興,鋼鐵,1992-05-25,,True,506,2015-05-03,2025-01-05,
2062,橋椿,居家生活,2007-11-16,,True,506,2015-05-03,2025-01-05,
3557,嘉威,居家生活,2008-02-27,,True,506,2015-05-03,2025-01-05,
6671,三能-KY,居家生活,2018-12-11,,True,317,2018-12-16,2025-01-05,
6754,匯僑設計,居家生活,2020-08-25,,True,228,2020-08-30,2025-01-05,
6807,峰源-KY,居家生活,2022-04-25,,True,141,2022-05-01,2025-01-05,
8464,億豐,居家生活,2015-12-22,,True,472,2015-12-27,2025-01-05,
8482,商億-KY,居家生活,2018-08-15,,True,334,2018-08-19,2025-01-05,
9911,櫻花,居家生活,1992-07-16,,True,506,2015-05-03,2025-01-05,
9924,福興,居家生活,1995-03-15,,True,506,2015-05-03,2025-01-05,
9934,成霖,居家生活,2000-09-11,,True,506,2015-05-03,2025-01-05,
2072,世紀風電,綠能環保,2026-03-26,,False,0,,,TWSE 上市日晚於主樣本結束日，無任何觀測
3708,上緯投控,綠能環保,2016-08-31,,True,436,2016-09-04,2025-01-05,
5292,華懋,綠能環保,2023-11-21,,True,59,2023-11-26,2025-01-05,
6581,鋼聯,綠能環保,2018-01-30,,True,362,2018-02-04,2025-01-05,
6641,基士德-KY,綠能環保,2018-09-21,,True,329,2018-09-23,2025-01-05,
6869,雲豹能源,綠能環保,2023-03-14,,True,95,2023-03-19,2025-01-05,
6873,泓德能源,綠能環保,2024-09-26,,True,15,2024-09-29,2025-01-05,
6887,寶綠特-KY,綠能環保,2025-03-10,,False,0,,,TWSE 上市日晚於主樣本結束日，無任何觀測
6923,中台,綠能環保,2024-09-25,,True,15,2024-09-29,2025-01-05,
6944,兆聯實業,綠能環保,2025-05-28,,False,0,,,TWSE 上市日晚於主樣本結束日，無任何觀測
2101,南港,橡膠,1963-11-01,,True,506,2015-05-03,2025-01-05,
2102,泰豐,橡膠,1979-07-16,,True,506,2015-05-03,2025-01-05,
2103,台橡,橡膠,1982-09-25,,True,506,2015-05-03,2025-01-05,
2104,國際中橡,橡膠,1986-07-15,,True,506,2015-05-03,2025-01-05,
2105,正新,橡膠,1987-12-07,,True,506,2015-05-03,2025-01-05,
2106,建大,橡膠,1990-12-20,,True,506,2015-05-03,2025-01-05,
2107,厚生,橡膠,1992-03-03,,True,506,2015-05-03,2025-01-05,
2108,南帝,橡膠,1992-10-27,,True,506,2015-05-03,2025-01-05,
2109,華豐,橡膠,2000-05-08,,True,506,2015-05-03,2025-01-05,
2114,鑫永銓,橡膠,2010-12-29,,True,506,2015-05-03,2025-01-05,
2208,台船,航運,2008-12-22,,True,506,2015-05-03,2025-01-05,
2601,益航,航運,1965-11-04,,True,506,2015-05-03,2025-01-05,
2603,長榮,航運,1987-09-21,,True,506,2015-05-03,2025-01-05,
2605,新興,航運,1989-12-08,,True,506,2015-05-03,2025-01-05,
2606,裕民,航運,1990-12-08,,True,506,2015-05-03,2025-01-05,
2607,榮運,航運,1990-12-14,,True,506,2015-05-03,2025-01-05,
2608,嘉里大榮,航運,1990-12-20,,True,506,2015-05-03,2025-01-05,
2609,陽明,航運,1992-04-20,,True,506,2015-05-03,2025-01-05,
2610,華航,航運,1993-02-26,,True,506,2015-05-03,2025-01-05,
2611,志信,航運,1993-10-28,,True,506,2015-05-03,2025-01-05,
2302,麗正,半導體,1985-01-15,,True,506,2015-05-03,2025-01-05,
2303,聯電,半導體,1985-07-16,,True,506,2015-05-03,2025-01-05,
2329,華泰,半導體,1994-04-20,,True,506,2015-05-03,2025-01-05,
2330,台積電,半導體,1994-09-05,,True,506,2015-05-03,2025-01-05,
2337,旺宏,半導體,1995-03-15,,True,506,2015-05-03,2025-01-05,
2338,光罩,半導體,1995-04-17,,True,506,2015-05-03,2025-01-05,
2340,台亞,半導體,1995-05-02,,True,506,2015-05-03,2025-01-05,
2342,茂矽,半導體,1995-09-19,,True,506,2015-05-03,2025-01-05,
2344,華邦電,半導體,1995-10-18,,True,506,2015-05-03,2025-01-05,
2351,順德,半導體,1996-04-25,,True,506,2015-05-03,2025-01-05,
2312,金寶,其他電子,1989-11-07,,True,506,2015-05-03,2025-01-05,
2317,鴻海,其他電子,1991-06-18,,True,506,2015-05-03,2025-01-05,
2354,鴻準,其他電子,1996-10-08,,True,506,2015-05-03,2025-01-05,
2359,所羅門,其他電子,1996-12-19,,True,506,2015-05-03,2025-01-05,
2360,致茂,其他電子,1996-12-21,,True,506,2015-05-03,2025-01-05,
