ticker,name_short,sector,listing_date,delisting_date,venue,is_ky,registration
2303,聯電,半導體,1985-07-16,,TWSE,0,－
2329,華泰,半導體,1994-04-20,,TWSE,0,－
2330,台積電,半導體,1994-09-05,,TWSE,0,－
2337,旺宏,半導體,1995-03-15,,TWSE,0,－
2338,光罩,半導體,1995-04-17,,TWSE,0,－
2340,台亞,半導體,1995-05-02,,TWSE,0,－
2342,茂矽,半導體,1995-09-19,,TWSE,0,－
2344,華邦電,半導體,1995-10-18,,TWSE,0,－
2351,順德,半導體,1996-04-25,,TWSE,0,－
2312,金寶,其他電子,1989-11-07,,TWSE,0,－
2317,鴻海,其他電子,1991-06-18,,TWSE,0,－
2354,鴻準,其他電子,1996-10-08,,TWSE,0,－
2359,所羅門,其他電子,1996-12-19,,TWSE,0,－
2360,致茂,其他電子,1996-12-21,,TWSE,0,－
2373,震旦行,其他電子,1991-08-01,,TWSE,0,－
2390,云辰,其他電子,1999-06-15,,TWSE,0,－
2404,漢唐,其他電子,2000-03-14,,TWSE,0,－
2423,固緯,其他電子,2000-09-11,,TWSE,0,－
2433,互盛電,其他電子,2000-09-11,,TWSE,0,－
2323,中環,光電,1992-02-17,,TWSE,0,－
2349,錸德,光電,1996-04-23,,TWSE,0,－
2374,佳能,光電,1995-01-16,,TWSE,0,－
2393,億光,光電,1999-11-04,,TWSE,0,－
2406,國碩,光電,2000-04-29,,TWSE,0,－
2409,友達,光電,2000-09-08,,TWSE,0,－
2426,鼎元,光電,2000-09-11,,TWSE,0,－
2429,銘旺科,光電,2000-09-11,,TWSE,0,－
2438,翔耀,光電,2000-09-11,,TWSE,0,－
2466,冠西電,光電,2001-09-17,,TWSE,0,－
2347,聯強,電子通路,1995-12-13,,TWSE,0,－
2414,精技,電子通路,2000-09-11,,TWSE,0,－
2430,燦坤,電子通路,2000-09-11,,TWSE,0,－
3010,華立,電子通路,2002-07-22,,TWSE,0,－
3028,增你強,電子通路,2002-08-26,,TWSE,0,－
3033,威健,電子通路,2002-08-26,,TWSE,0,－
3036,文曄,電子通路,2002-08-26,,TWSE,0,－
3048,益登,電子通路,2002-10-01,,TWSE,0,－
3054,立萬利,電子通路,2002-11-18,,TWSE,0,－
3055,蔚華科,電子通路,2002-12-12,,TWSE,0,－
2427,三商電,資訊服務,2000-09-11,,TWSE,0,－
2453,凌群,資訊服務,2001-05-22,,TWSE,0,－
2468,華經,資訊服務,2001-09-17,,TWSE,0,－
2471,資通,資訊服務,2001-09-17,,TWSE,0,－
2480,敦陽科,資訊服務,2001-09-17,,TWSE,0,－
3029,零壹,資訊服務,2002-08-26,,TWSE,0,－
4994,傳奇,資訊服務,2013-12-25,,TWSE,0,－
5203,訊連,資訊服務,2004-09-27,,TWSE,0,－
6112,邁達特,資訊服務,2003-08-04,,TWSE,0,－
6183,關貿,資訊服務,2011-12-01,,TWSE,0,－
2616,山隆,油電燃氣,1997-11-08,,TWSE,0,－
6505,台塑化,油電燃氣,2003-12-26,,TWSE,0,－
8926,台汽電,油電燃氣,2003-08-25,,TWSE,0,－
9908,大台北,油電燃氣,1991-02-06,,TWSE,0,－
9918,欣天然,油電燃氣,1994-04-26,,TWSE,0,－
9926,新海,油電燃氣,1998-04-08,,TWSE,0,－
9931,欣高,油電燃氣,2000-03-21,,TWSE,0,－
9937,全國,油電燃氣,2000-09-11,,TWSE,0,－
2701,萬企,觀光餐旅,1965-03-22,,TWSE,0,－
2702,華園,觀光餐旅,1965-02-14,,TWSE,0,－
2704,國賓,觀光餐旅,1982-11-10,,TWSE,0,－
2705,六福,觀光餐旅,1988-12-24,,TWSE,0,－
2706,第一店,觀光餐旅,1991-06-25,,TWSE,0,－
2707,晶華,觀光餐旅,1998-03-09,,TWSE,0,－
2712,遠雄來,觀光餐旅,2013-12-03,,TWSE,0,－
2722,夏都,觀光餐旅,2012-03-14,,TWSE,0,－
2723,美食-KY,觀光餐旅,2010-11-22,,TWSE,1,KY 開曼群島
2727,王品,觀光餐旅,2012-03-06,,TWSE,0,－
2801,彰銀,金融,1962-02-15,,TWSE,0,－
2812,台中銀,金融,1984-05-15,,TWSE,0,－
2816,旺旺保,金融,1992-05-05,,TWSE,0,－
2820,華票,金融,1994-10-26,,TWSE,0,－
2832,台產,金融,1997-09-30,,TWSE,0,－
2834,臺企銀,金融,1998-01-03,,TWSE,0,－
2836,高雄銀,金融,1998-05-18,,TWSE,0,－
2838,聯邦銀,金融,1998-06-29,,TWSE,0,－
2845,遠東銀,金融,1998-11-27,,TWSE,0,－
2849,安泰銀,金融,1999-09-27,,TWSE,0,－
2901,欣欣,貿易百貨,1976-05-07,,TWSE,0,－
2903,遠百,貿易百貨,1978-10-11,,TWSE,0,－
2905,三商,貿易百貨,1988-09-19,,TWSE,0,－
2906,高林,貿易百貨,1989-12-26,,TWSE,0,－
2908,特力,貿易百貨,1993-02-18,,TWSE,0,－
2910,統領,貿易百貨,1996-12-30,,TWSE,0,－
2911,麗嬰房,貿易百貨,1997-01-18,,TWSE,0,－
2912,統一超,貿易百貨,1997-08-22,,TWSE,0,－
2913,農林,貿易百貨,1962-02-09,,TWSE,0,－
2915,潤泰全,貿易百貨,1977-07-20,,TWSE,0,－
3130,一零四,數位雲端,2006-02-17,,TWSE,0,－
6165,浪凡,數位雲端,2003-08-04,,TWSE,0,－
6614,資拓宏宇,數位雲端,2025-11-25,,TWSE,0,－
6689,伊雲谷,數位雲端,2022-09-13,,TWSE,0,－
6902,GOGOLOOK,數位雲端,2023-07-13,,TWSE,0,－
6906,現觀科,數位雲端,2024-01-15,,TWSE,0,－
7721,微程式,數位雲端,2025-07-29,,TWSE,0,－
7722,LINEPAY,數位雲端,2024-12-05,,TWSE,0,－
7765,中華資安,數位雲端,2025-09-08,,TWSE,0,－
8454,富邦媒,數位雲端,2014-12-19,,TWSE,0,－
